section,phase,ratio,version,embedding_key,embedding_label,selection_strategy,selection_scope,predictor,hyperparam_policy,K,tau,item_r_mean,item_r_ci_lower,item_r_ci_upper,trait_r_mean,profile_r_mean,item_mae_mean,reference,source_artifact,within_minus_between_raw_cosine,mean_selected_set_coverage_shifted_cosine,mean_selected_set_redundancy_shifted_cosine,delta_item_r_vs_sbert,p_vs_sbert_holm,delta_item_r_selection_vs_A,p_selection_holm,jaccard_mean_vs_s_old
phase2_predictor_ablation,phase2,30.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,SoftmaxKNN,train_inner_tuned,7.0,0.1,0.3541724864060649,0.3485575091166791,0.3601093622998955,0.8560830535550112,0.8763989618548443,0.9244131620656212,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,30.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,KernelSmoothing,train_inner_tuned,,0.1,0.3368441974432231,0.3324478789026163,0.3412405159838297,0.8518785550525992,0.8786937080957505,0.9252096515506352,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,30.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,UniformKNN K=5 (原文 baseline),original_fixed_K5,5.0,,0.2555322634425815,,,0.8284208548110387,0.8792844159117224,0.9788133796986256,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,50.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,Tuned UniformKNN,train_inner_tuned,3.0,,0.3410999935819406,0.3368417649961924,0.3472707949729673,0.9339201698486428,0.9355986759505626,0.9168557840702104,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,50.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,CosineWeightedKNN,train_inner_tuned,3.0,,0.342163151255709,0.3378931820642369,0.3482577553488615,0.9340253450488916,0.9356808397402788,0.9159828051001824,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,50.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,SoftmaxKNN,train_inner_tuned,10.0,0.1,0.4036516554472914,0.398843244107537,0.4085212260377189,0.9375808374330006,0.9379298207112772,0.8648593078324225,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,50.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,KernelSmoothing,train_inner_tuned,,0.09,0.3893022109153983,0.3860483680122457,0.3935883452557274,0.936362476157836,0.9388892812350508,0.8743729491637688,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,50.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,UniformKNN K=5 (原文 baseline),original_fixed_K5,5.0,,0.3037373382247258,,,0.9326171740206242,0.940465896650946,0.9315970856102004,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,90.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,Tuned UniformKNN,train_inner_tuned,3.0,,0.5582480761000804,0.5496416380980131,0.5674465188823404,0.99343754442637,0.993651051751216,0.6959258155323729,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,90.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,CosineWeightedKNN,train_inner_tuned,3.0,,0.558331143485907,0.549754702302416,0.5676434673390597,0.9934339607247084,0.993649277297494,0.6959257492962411,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,90.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,SoftmaxKNN,train_inner_tuned,3.0,0.038,0.5994927960957072,0.5907111437771689,0.6082744484142454,0.9936491059972627,0.9933549846064048,0.6611486007617156,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,90.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,KernelSmoothing,train_inner_tuned,,0.034,0.6000916128000202,0.5919087771857953,0.6082744484142454,0.9936176000731975,0.9932950083319348,0.6607486007617155,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase2_predictor_ablation,phase2,90.0,,sbert_original,SBERT (original),Coverage,S_old_phase1_coverage,UniformKNN K=5 (原文 baseline),original_fixed_K5,5.0,,0.4842084651344137,,,0.9930826888929914,0.9936818999502024,0.7601284980957113,Phase 2 predictor ablation,results/phase2/figures/table3_predictor_ablation.csv,,,,,,,,
phase3_embedding_diagnostics,phase3,,,sbert_original,SBERT (original),Coverage diagnostics,embedding_space_full100_and_selected_sets,,,,,,,,,,,Phase 3 embedding-space diagnostics,results/phase3/embedding_diagnostics_summary.csv,0.0936761380298648,0.904675019652281,0.6283599896113763,,,,,
phase3_embedding_diagnostics,phase3,,,minilm_l6_v2,MiniLM-L6-v2,Coverage diagnostics,embedding_space_full100_and_selected_sets,,,,,,,,,,,Phase 3 embedding-space diagnostics,results/phase3/embedding_diagnostics_summary.csv,0.0928941289135261,0.867865370201849,0.5959129787192168,,,,,
phase3_embedding_diagnostics,phase3,,,mpnet_base_v2,MPNet-base-v2,Coverage diagnostics,embedding_space_full100_and_selected_sets,,,,,,,,,,,Phase 3 embedding-space diagnostics,results/phase3/embedding_diagnostics_summary.csv,0.1182026443682771,0.8742232979514051,0.598210777333974,,,,,
phase3_embedding_diagnostics,phase3,,,e5_base_v2,E5-base-v2,Coverage diagnostics,embedding_space_full100_and_selected_sets,,,,,,,,,,,Phase 3 embedding-space diagnostics,results/phase3/embedding_diagnostics_summary.csv,0.0292990206499654,0.9635432244190502,0.8829361787516454,,,,,
phase3_embedding_diagnostics,phase3,,,bge_base_en_v15,BGE-base-en-v1.5,Coverage diagnostics,embedding_space_full100_and_selected_sets,,,,,,,,,,,Phase 3 embedding-space diagnostics,results/phase3/embedding_diagnostics_summary.csv,0.0619159753111779,0.9309622977773644,0.7754177325545144,,,,,
phase4_version_result,phase4,10.0,A1_fixed,sbert_original,SBERT (original),Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.2763146846497246,0.270688910406446,0.2819404588930031,0.6429865301648989,0.69283003436438,1.0207648330386812,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,,,,,
phase4_version_result,phase4,10.0,A1_fixed,minilm_l6_v2,MiniLM-L6-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.2668682580011084,0.2607601513392036,0.2729763646630133,0.6390233836158966,0.6854579010395018,1.0200409552792928,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,-0.0094464266486161,0.0,,,
phase4_version_result,phase4,10.0,A1_fixed,mpnet_base_v2,MPNet-base-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.2884928857949109,0.2825184736533933,0.2944672979364284,0.6371678602932039,0.688420314821884,1.0110665918564965,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.0121782011451862,0.0,,,
