embedding_key,embedding_label,ratio,fold,version_scope,s_new_hash,s_old_fold_hash,s_new_size,s_old_size,intersection_n,union_n,jaccard_overlap,selection_changed,items_only_in_s_new,items_only_in_s_old,s_new_coverage,s_new_redundancy,s_old_coverage,s_old_redundancy
mpnet_base_v2,MPNet-base-v2,50,3,B1_and_B2_shared_selection,45bb1bb1246fbfc6,d172a87b5a6e4875,50,50,29,71,0.4084507042253521,True,"11,14,15,17,19,30,32,38,44,55,60,61,64,65,70,74,82,85,89,92,97","0,9,13,21,28,35,36,40,41,45,48,50,59,62,80,84,86,90,93,96,98",0.9029412441915747,0.5916511048942492,0.930037828572538,0.6265620656816998
mpnet_base_v2,MPNet-base-v2,50,4,B1_and_B2_shared_selection,45bb1bb1246fbfc6,d172a87b5a6e4875,50,50,29,71,0.4084507042253521,True,"11,14,15,17,19,30,32,38,44,55,60,61,64,65,70,74,82,85,89,92,97","0,9,13,21,28,35,36,40,41,45,48,50,59,62,80,84,86,90,93,96,98",0.9029412441915747,0.5916511048942492,0.930037828572538,0.6265620656816998
mpnet_base_v2,MPNet-base-v2,90,0,B1_and_B2_shared_selection,e89eefa9a454e390,e4aca0f6b9e84075,90,90,84,96,0.875,True,"24,37,46,60,64,99","35,36,48,50,80,95",0.9885860509311314,0.5988157803735272,0.9945457838532562,0.628319119336572
mpnet_base_v2,MPNet-base-v2,90,1,B1_and_B2_shared_selection,e89eefa9a454e390,e4aca0f6b9e84075,90,90,84,96,0.875,True,"24,37,46,60,64,99","35,36,48,50,80,95",0.9885860509311314,0.5988157803735272,0.9945457838532562,0.628319119336572
mpnet_base_v2,MPNet-base-v2,90,2,B1_and_B2_shared_selection,e89eefa9a454e390,e4aca0f6b9e84075,90,90,84,96,0.875,True,"24,37,46,60,64,99","35,36,48,50,80,95",0.9885860509311314,0.5988157803735272,0.9945457838532562,0.628319119336572
mpnet_base_v2,MPNet-base-v2,90,3,B1_and_B2_shared_selection,e89eefa9a454e390,e4aca0f6b9e84075,90,90,84,96,0.875,True,"24,37,46,60,64,99","35,36,48,50,80,95",0.9885860509311314,0.5988157803735272,0.9945457838532562,0.628319119336572
mpnet_base_v2,MPNet-base-v2,90,4,B1_and_B2_shared_selection,e89eefa9a454e390,e4aca0f6b9e84075,90,90,84,96,0.875,True,"24,37,46,60,64,99","35,36,48,50,80,95",0.9885860509311314,0.5988157803735272,0.9945457838532562,0.628319119336572
e5_base_v2,E5-base-v2,10,0,B1_and_B2_shared_selection,ddb8a8dc4781b07a,92745849571d4031,10,10,3,17,0.17647058823529413,True,"0,16,31,34,43,73,82","12,40,41,48,67,80,94",0.9313861276492562,0.8880157529072026,0.8111275356842519,0.6411336607517674
e5_base_v2,E5-base-v2,10,1,B1_and_B2_shared_selection,ddb8a8dc4781b07a,92745849571d4031,10,10,3,17,0.17647058823529413,True,"0,16,31,34,43,73,82","12,40,41,48,67,80,94",0.9313861276492562,0.8880157529072026,0.8111275356842519,0.6411336607517674
e5_base_v2,E5-base-v2,10,2,B1_and_B2_shared_selection,ddb8a8dc4781b07a,92745849571d4031,10,10,3,17,0.17647058823529413,True,"0,16,31,34,43,73,82","12,40,41,48,67,80,94",0.9313861276492562,0.8880157529072026,0.8111275356842519,0.6411336607517674
e5_base_v2,E5-base-v2,10,3,B1_and_B2_shared_selection,ddb8a8dc4781b07a,92745849571d4031,10,10,3,17,0.17647058823529413,True,"0,16,31,34,43,73,82","12,40,41,48,67,80,94",0.9313861276492562,0.8880157529072026,0.8111275356842519,0.6411336607517674
e5_base_v2,E5-base-v2,10,4,B1_and_B2_shared_selection,ddb8a8dc4781b07a,92745849571d4031,10,10,3,17,0.17647058823529413,True,"0,16,31,34,43,73,82","12,40,41,48,67,80,94",0.9313861276492562,0.8880157529072026,0.8111275356842519,0.6411336607517674
e5_base_v2,E5-base-v2,30,0,B1_and_B2_shared_selection,7ceffde4e4dcacff,62099f7a34f67aa9,30,30,11,49,0.22448979591836735,True,"0,5,13,16,17,18,19,34,37,38,60,70,72,74,79,82,92,96,98","4,7,12,20,25,28,35,40,41,45,47,48,49,50,67,77,80,86,94",0.9548893850322285,0.8809807451335154,0.8829888945012074,0.6164002583578039
e5_base_v2,E5-base-v2,30,1,B1_and_B2_shared_selection,7ceffde4e4dcacff,62099f7a34f67aa9,30,30,11,49,0.22448979591836735,True,"0,5,13,16,17,18,19,34,37,38,60,70,72,74,79,82,92,96,98","4,7,12,20,25,28,35,40,41,45,47,48,49,50,67,77,80,86,94",0.9548893850322285,0.8809807451335154,0.8829888945012074,0.6164002583578039
e5_base_v2,E5-base-v2,30,2,B1_and_B2_shared_selection,7ceffde4e4dcacff,62099f7a34f67aa9,30,30,11,49,0.22448979591836735,True,"0,5,13,16,17,18,19,34,37,38,60,70,72,74,79,82,92,96,98","4,7,12,20,25,28,35,40,41,45,47,48,49,50,67,77,80,86,94",0.9548893850322285,0.8809807451335154,0.8829888945012074,0.6164002583578039
e5_base_v2,E5-base-v2,30,3,B1_and_B2_shared_selection,7ceffde4e4dcacff,62099f7a34f67aa9,30,30,11,49,0.22448979591836735,True,"0,5,13,16,17,18,19,34,37,38,60,70,72,74,79,82,92,96,98","4,7,12,20,25,28,35,40,41,45,47,48,49,50,67,77,80,86,94",0.9548893850322285,0.8809807451335154,0.8829888945012074,0.6164002583578039
e5_base_v2,E5-base-v2,30,4,B1_and_B2_shared_selection,7ceffde4e4dcacff,62099f7a34f67aa9,30,30,11,49,0.22448979591836735,True,"0,5,13,16,17,18,19,34,37,38,60,70,72,74,79,82,92,96,98","4,7,12,20,25,28,35,40,41,45,47,48,49,50,67,77,80,86,94",0.9548893850322285,0.8809807451335154,0.8829888945012074,0.6164002583578039
e5_base_v2,E5-base-v2,50,0,B1_and_B2_shared_selection,5ae9976a061dca51,d172a87b5a6e4875,50,50,31,69,0.4492753623188406,True,"14,16,17,18,19,34,37,38,44,57,60,70,74,82,87,89,92,95,97","9,12,22,25,28,35,40,41,45,48,49,50,51,67,69,80,84,86,94",0.9715854519610145,0.8792839558638342,0.930037828572538,0.6265620656816998
e5_base_v2,E5-base-v2,50,1,B1_and_B2_shared_selection,5ae9976a061dca51,d172a87b5a6e4875,50,50,31,69,0.4492753623188406,True,"14,16,17,18,19,34,37,38,44,57,60,70,74,82,87,89,92,95,97","9,12,22,25,28,35,40,41,45,48,49,50,51,67,69,80,84,86,94",0.9715854519610145,0.8792839558638342,0.930037828572538,0.6265620656816998
e5_base_v2,E5-base-v2,50,2,B1_and_B2_shared_selection,5ae9976a061dca51,d172a87b5a6e4875,50,50,31,69,0.4492753623188406,True,"14,16,17,18,19,34,37,38,44,57,60,70,74,82,87,89,92,95,97","9,12,22,25,28,35,40,41,45,48,49,50,51,67,69,80,84,86,94",0.9715854519610145,0.8792839558638342,0.930037828572538,0.6265620656816998
e5_base_v2,E5-base-v2,50,3,B1_and_B2_shared_selection,5ae9976a061dca51,d172a87b5a6e4875,50,50,31,69,0.4492753623188406,True,"14,16,17,18,19,34,37,38,44,57,60,70,74,82,87,89,92,95,97","9,12,22,25,28,35,40,41,45,48,49,50,51,67,69,80,84,86,94",0.9715854519610145,0.8792839558638342,0.930037828572538,0.6265620656816998
e5_base_v2,E5-base-v2,50,4,B1_and_B2_shared_selection,5ae9976a061dca51,d172a87b5a6e4875,50,50,31,69,0.4492753623188406,True,"14,16,17,18,19,34,37,38,44,57,60,70,74,82,87,89,92,95,97","9,12,22,25,28,35,40,41,45,48,49,50,51,67,69,80,84,86,94",0.9715854519610145,0.8792839558638342,0.930037828572538,0.6265620656816998
